Category,Message,tokenize,proc_message
ham,go until jurong point crazy available only in bugis n great world la e buffet cine there got amore wat,"['go', 'jurong', 'point', 'crazi', 'avail', 'bugi', 'n', 'great', 'world', 'la', 'e', 'buffet', 'cine', 'got', 'amor', 'wat']",go jurong point crazi avail bugi n great world la e buffet cine got amor wat
ham,ok lar joking wif u oni,"['ok', 'lar', 'joke', 'wif', 'u', 'oni']",ok lar joke wif u oni
spam,free entry in 2 a wkly comp to win fa cup final tkts 21st may 2005 text fa to 87121 to receive entry questionstd txt ratetcs apply 08452810075over18s,"['free', 'entri', '2', 'wkli', 'comp', 'win', 'fa', 'cup', 'final', 'tkt', '21st', 'may', '2005', 'text', 'fa', '87121', 'receiv', 'entri', 'questionstd', 'txt', 'ratetc', 'appli', '08452810075over18']",free entri 2 wkli comp win fa cup final tkt 21st may 2005 text fa 87121 receiv entri questionstd txt ratetc appli 08452810075over18
ham,u dun say so early hor u c already then say,"['u', 'dun', 'say', 'earli', 'hor', 'u', 'c', 'alreadi', 'say']",u dun say earli hor u c alreadi say
ham,nah i dont think he goes to usf he lives around here though,"['nah', 'dont', 'think', 'goe', 'usf', 'live', 'around', 'though']",nah dont think goe usf live around though
spam,freemsg hey there darling its been 3 weeks now and no word back id like some fun you up for it still tb ok xxx std chgs to send 150 to rcv,"['freemsg', 'hey', 'darl', '3', 'week', 'word', 'back', 'id', 'like', 'fun', 'still', 'tb', 'ok', 'xxx', 'std', 'chg', 'send', '150', 'rcv']",freemsg hey darl 3 week word back id like fun still tb ok xxx std chg send 150 rcv
ham,even my brother is not like to speak with me they treat me like aids patent,"['even', 'brother', 'like', 'speak', 'treat', 'like', 'aid', 'patent']",even brother like speak treat like aid patent
ham,as per your request melle melle oru minnaminunginte nurungu vettam has been set as your callertune for all callers press 9 to copy your friends callertune,"['per', 'request', 'mell', 'mell', 'oru', 'minnaminungint', 'nurungu', 'vettam', 'set', 'callertun', 'caller', 'press', '9', 'copi', 'friend', 'callertun']",per request mell mell oru minnaminungint nurungu vettam set callertun caller press 9 copi friend callertun
spam,winner as a valued network customer you have been selected to receivea 900 prize reward to claim call 09061701461 claim code kl341 valid 12 hours only,"['winner', 'valu', 'network', 'custom', 'select', 'receivea', '900', 'prize', 'reward', 'claim', 'call', '09061701461', 'claim', 'code', 'kl341', 'valid', '12', 'hour']",winner valu network custom select receivea 900 prize reward claim call 09061701461 claim code kl341 valid 12 hour
spam,had your mobile 11 months or more u r entitled to update to the latest colour mobiles with camera for free call the mobile update co free on 08002986030,"['mobil', '11', 'month', 'u', 'r', 'entitl', 'updat', 'latest', 'colour', 'mobil', 'camera', 'free', 'call', 'mobil', 'updat', 'co', 'free', '08002986030']",mobil 11 month u r entitl updat latest colour mobil camera free call mobil updat co free 08002986030
ham,im gonna be home soon and i dont want to talk about this stuff anymore tonight k ive cried enough today,"['im', 'gon', 'na', 'home', 'soon', 'dont', 'want', 'talk', 'stuff', 'anymor', 'tonight', 'k', 'ive', 'cri', 'enough', 'today']",im gon na home soon dont want talk stuff anymor tonight k ive cri enough today
spam,six chances to win cash from 100 to 20000 pounds txt csh11 and send to 87575 cost 150pday 6days 16 tsandcs apply reply hl 4 info,"['six', 'chanc', 'win', 'cash', '100', '20000', 'pound', 'txt', 'csh11', 'send', '87575', 'cost', '150pday', '6day', '16', 'tsandc', 'appli', 'repli', 'hl', '4', 'info']",six chanc win cash 100 20000 pound txt csh11 send 87575 cost 150pday 6day 16 tsandc appli repli hl 4 info
